coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,price_volatility,price_momentum,price_change_abs,volume_trend,volume_momentum,volume_to_mcap_ratio,mcap_change,price_pct_change,price_1h_pct,price_24h_pct,price_7d_pct,liquidity_score,market_stability,price_efficiency
0x,ZRX,0.509791,0.025,0.035,0.0279999999999999,29309302.0,427933388.0,2022-03-16,0.0,0.0,0.0,0.0,0.0,6.849033709891317,0.0,0.0,0.025,0.035,0.0279999999999999,0.003776595063785589,1.0,57492780.37470257
0x,ZRX,0.51816,0.003,0.016,-0.01,24224308.0,439124277.0,2022-03-17,0.01641653148054778,1.641653148054778,0.00836899999999996,-0.17349420330787813,-17.34942033078781,5.516503930389619,0.02615100694129535,1.641653148054778,0.003,0.016,-0.01,0.003121377711977643,0.9838486181874326,46750633.00910916
1inch,1INCH,1.5,0.021,0.111,0.163,120457113.0,616145134.0,2022-03-16,0.0,189.48587308939327,0.98184,0.0,397.25718893600595,19.550119988450643,0.0,189.48587308939327,0.021,0.111,0.163,0.015521275066655047,1.0,80304742.0
1inch,1INCH,1.49,0.008,-0.003,0.087,64145152.0,617505356.0,2022-03-17,0.00666666666666671,-0.666666666666671,0.010000000000000009,-0.46748556060778246,-46.74855606077825,10.387788765997358,0.0022076324634254796,-0.666666666666671,0.008,-0.003,0.087,0.008265303090772216,0.9933774834437085,43050437.58389262
AIOZ Network,AIOZ,0.237396,0.047,0.287,0.241,13715452.0,114207956.0,2022-03-16,0.0,-84.06738255033557,1.252604,0.0,-78.61810039829666,12.009191373672776,0.0,-84.06738255033557,0.047,0.287,0.241,0.0017672788086453982,1.0,57774570.759406224
AIOZ Network,AIOZ,0.214561,-0.012,-0.095,-0.107,5493212.0,103148149.0,2022-03-17,0.09618948929215321,-9.618948929215321,0.022834999999999994,-0.5994873519297796,-59.94873519297796,5.325555575408338,-0.09683919918853989,-9.618948929215321,-0.012,-0.095,-0.107,0.0007078175155289526,0.9122510385004091,25602099.169933025
APENFT,NFT,1.523622e-06,0.004,0.005,-0.047,69002807.0,421365369.0,2022-03-16,0.0,-99.99928988865638,0.214559476378,0.0,1156.146804456118,16.376003363484767,0.0,-99.99928988865638,0.004,0.005,-0.047,0.008891227102697625,1.0,45288665430139.49
APENFT,NFT,1.538902e-06,0.001,0.01,-0.052,52887977.0,426608620.0,2022-03-17,0.010028734161097619,1.0028734161097619,1.5279999999999962e-08,-0.23353876024202902,-23.3538760242029,12.397306224145213,0.012443478714075251,1.0028734161097619,0.001,0.01,-0.052,0.006814780948103292,0.99007084271773,34367345678932.12
API3,API3,4.7,0.0279999999999999,-0.008,-0.1009999999999999,29731985.0,230984150.0,2022-03-16,0.0,305412460.3839621,4.699998461098001,0.0,-43.783092705550075,12.871872377390398,0.0,305412460.3839621,0.0279999999999999,-0.008,-0.1009999999999999,0.0038310590879150645,1.0,6325954.255319148
API3,API3,4.64,0.003,-0.012,-0.146,30688251.0,230330587.0,2022-03-17,0.01276595744680864,-1.276595744680864,0.0600000000000005,0.03216287106293114,3.216287106293114,13.323567399235603,-0.002829471199647271,-1.276595744680864,0.003,-0.012,-0.146,0.003954276947394147,0.9873949579831931,6613847.198275862
