,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R²,Test R²
Linear Regression,1.4176284278596856e-06,1.9669178323207304e-06,7.589394585465638e-07,8.050281270990679e-07,1.0,1.0
Random Forest,416571037.8268959,1828012138.2524037,21690230.413905494,157626051.26723683,0.9645082098026947,0.8216029032146709
Gradient Boosting,808528.1928648214,1527504953.1637716,439072.83315748256,158895302.94911015,0.9999998662973247,0.8754353286736355
XGBoost,9384928.995154148,1372637173.1514037,1297670.4571348247,145864946.0145226,0.9999819859342556,0.8994131647439294
